scenario_name	domain	implementation	agents	think_time_ms	payload_bytes	latency_ms	run_count	success_count	consensus_wall_mean	consensus_wall_variance	consensus_wall_stddev	consensus_wall_ci_low	consensus_wall_ci_high	consensus_wall_n	findings_emitted_mean	findings_emitted_variance	findings_emitted_stddev	findings_emitted_ci_low	findings_emitted_ci_high	findings_emitted_n	findings_received_mean	findings_received_variance	findings_received_stddev	findings_received_ci_low	findings_received_ci_high	findings_received_n	avg_propagation_mean	avg_propagation_variance	avg_propagation_stddev	avg_propagation_ci_low	avg_propagation_ci_high	avg_propagation_n	p95_propagation_mean	p95_propagation_variance	p95_propagation_stddev	p95_propagation_ci_low	p95_propagation_ci_high	p95_propagation_n
matrix-lat25-5ag	matrix	p2p-relay-stream	5	20	0	25	2	2	164.5	312.5	17.67766952966369	5.6724407978161935	323.3275592021837	2	140	722	26.870057685088806	0	381.41788998731914	2	288.5	1012.5	31.81980515339464	2.6103934360691596	574.3896065639306	2	56	32	5.656854249492381	5.175181055301181	106.82481894469876	2	72	72	8.48528137423857	0	148.23722841704813	2
matrix-lat25-5ag	matrix	slim-group-session	5	20	0	25	2	1	224	0	0	224	224	1	66	0	0	66	66	1	220	0	0	220	220	1	44	0	0	44	44	1	72	0	0	72	72	1
matrix-lat25-5ag-1024b	matrix	p2p-relay-stream	5	20	1024	25	2	2	159	338	18.384776310850235	0	324.180661570271	2	138.5	24.5	4.949747468305833	94.02828342338853	182.9717165766114	2	272	1568	39.59797974644666	0	627.7737326128913	2	55.5	24.5	4.949747468305833	11.028283423388537	99.97171657661141	2	71	72	8.48528137423857	0	147.23722841704813	2
matrix-lat25-5ag-1024b	matrix	slim-group-session	5	20	1024	25	2	2	247	2048	45.254833995939045	0	653.5985515575901	2	66	8	2.8284271247461903	40.58759052765059	91.41240947234938	2	223	968	31.11269837220809	0	502.5365041958432	2	54.5	60.5	7.7781745930520225	0	124.3841260489608	2	82	800	28.284271247461902	0	336.12409472349384	2
matrix-lat25-5ag-4096b	matrix	p2p-relay-stream	5	20	4096	25	2	2	169	128	11.313708498984761	67.35036211060236	270.6496378893975	2	153.5	4.5	2.1213203435596424	134.44069289573795	172.55930710426205	2	285	450	21.213203435596427	94.40692895737942	475.5930710426204	2	57	18	4.242640687119285	18.881385791475893	95.11861420852406	2	77	2	1.4142135623730951	64.2937952638253	89.7062047361747	2
matrix-lat25-5ag-4096b	matrix	slim-group-session	5	20	4096	25	2	2	252	18	4.242640687119285	213.8813857914759	290.1186142085241	2	65	72	8.48528137423857	0	141.23722841704813	2	223	2	1.4142135623730951	210.2937952638253	235.7062047361747	2	57	50	7.0710678118654755	0	120.53102368087346	2	69	0	0	69	69	2
matrix-lat25-5ag-10240b	matrix	p2p-relay-stream	5	20	10240	25	2	2	175	0	0	175	175	2	154	32	5.656854249492381	103.17518105530118	204.82481894469876	2	298.5	4.5	2.1213203435596424	279.4406928957379	317.559307104262	2	59	0	0	59	59	2	77	2	1.4142135623730951	64.2937952638253	89.7062047361747	2
matrix-lat25-5ag-10240b	matrix	slim-group-session	5	20	10240	25	2	2	269	50	7.0710678118654755	205.46897631912648	332.53102368087343	2	67	18	4.242640687119285	28.881385791475893	105.11861420852406	2	230.5	4.5	2.1213203435596424	211.44069289573795	249.55930710426205	2	64.5	0.5	0.7071067811865476	58.14689763191265	70.85310236808735	2	111.5	12.5	3.5355339059327378	79.73448815956324	143.26551184043672	2
matrix-lat25-10ag	matrix	p2p-relay-stream	10	20	0	25	2	2	228.5	684.5	26.16295090390226	0	463.5647876192318	2	394.5	3444.5	58.68986283848344	0	921.8074965512496	2	1194.5	14964.5	122.32947314527271	95.41329032088811	2293.5867096791108	2	87.5	40.5	6.363961030678928	30.322078687213832	144.6779213127861	2	114.5	4.5	2.1213203435596424	95.44069289573795	133.55930710426205	2
matrix-lat25-10ag	matrix	slim-group-session	10	20	0	25	2	2	267	50	7.0710678118654755	203.46897631912648	330.53102368087343	2	121	8	2.8284271247461903	95.58759052765059	146.4124094723494	2	957.5	1624.5	40.30508652763321	595.3731650190209	1319.6268349809786	2	57.5	4.5	2.1213203435596424	38.440692895737946	76.55930710426203	2	91	200	14.142135623730951	0	218.06204736174692	2
matrix-lat25-10ag-1024b	matrix	p2p-relay-stream	10	20	1024	25	2	2	203	1922	43.840620433565945	0	596.8923468214155	2	336	7200	84.8528137423857	0	1098.3722841704816	2	1042.5	67344.5	259.50818869546293	0	3374.0885690880555	2	78	200	14.142135623730951	0	205.06204736174692	2	103	338	18.384776310850235	0	268.180661570271	2
